The test problem	The pareto optimal paths	The objective values	Number of paths
Test problem 10	Path10_258_258	97,37,19,46.3,18.5,31.6,32.8	1
Test problem 10	Path10_259_259	97,37.1,15.5,45.2,21.1,35.4,34	1
Test problem 10	Path10_260_260	97,37.1,15.9,32,31.4,20.6,49.9	1
Test problem 10	Path10_261_261	97,37.1,15.9,32.4,31.1,20.6,50.1	1
Test problem 10	Path10_262_262	97,37.1,16.5,32.9,25.2,19.8,50.4	1
Test problem 10	Path10_263_263	97,37.1,16.5,33.3,24.9,19.8,51.6	1
Test problem 10	Path10_264_264	97,37.1,16.6,33.6,25.1,21,49	1
Test problem 10	Path10_265_265	97,37.1,16.6,34.2,25.8,20.8,48	1
Test problem 10	Path10_266_266	97,37.1,18.3,30.7,31,21.9,46.5	1
Test problem 10	Path10_267_267	97,37.1,18.3,31.1,30.7,21.9,46.7	1
Test problem 10	Path10_268_269	97,37.1,19,45.4,19.4,34.1,31.9	2
Test problem 10	Path10_270_270	97,37.1,19.1,46.6,19.3,30.8,32.8	1
Test problem 10	Path10_271_271	97,37.2,14.2,46,15.7,38.4,31.3	1
Test problem 10	Path10_272_272	97,37.2,15.5,45.4,21.1,35.1,34.3	1
Test problem 10	Path10_273_274	97,37.2,19,46.3,18.4,31.5,32.9	2
Test problem 10	Path10_275_276	97,37.3,13.3,45.4,16.3,39.1,32.3	2
Test problem 10	Path10_277_277	97,37.3,14.2,46.2,15.7,38.1,31.6	1
Test problem 10	Path10_278_278	97,37.3,14.3,46.3,16.5,37.6,31.3	1
Test problem 10	Path10_279_279	97,37.3,15.9,32.4,31,20.7,49.8	1
Test problem 10	Path10_280_280	97,37.3,15.9,32.8,30.7,20.7,50	1
Test problem 10	Path10_281_281	97,37.3,16.6,33.6,25.8,21.1,48.7	1
Test problem 10	Path10_282_282	97,37.3,18.3,30.7,31.7,22,46.2	1
Test problem 10	Path10_283_283	97,37.3,18.3,31.1,31.4,22,46.4	1
Test problem 10	Path10_284_285	97,37.3,19.1,46.6,19.2,30.7,32.9	2
Test problem 10	Path10_286_287	97,37.4,13.3,45.6,16.3,38.8,32.6	2
Test problem 10	Path10_288_288	97,37.4,13.7,47.1,19.3,35.5,33.2	1
Test problem 10	Path10_289_289	97,37.4,14.3,46.5,16.5,37.3,31.6	1
Test problem 10	Path10_290_290	97,37.4,18.4,34.4,26.5,19.3,51.2	1
Test problem 10	Path10_291_291	97,37.5,13.7,47.3,19.3,35.2,33.5	1
Test problem 10	Path10_292_292	97,37.5,15.9,32.4,31.2,20.2,49.8	1
Test problem 10	Path10_293_293	97,37.5,15.9,32.8,30.9,20.2,50	1
Test problem 10	Path10_294_294	97,37.5,16.6,34,25.4,21.2,48.6	1
Test problem 10	Path10_295_295	97,37.5,18,33.3,26.5,19.3,49.4	1
Test problem 10	Path10_296_296	97,37.5,18.3,31.1,31.3,22.1,46.1	1
Test problem 10	Path10_297_297	97,37.5,18.3,31.5,31,22.1,46.3	1
Test problem 10	Path10_298_298	97,37.5,21,41.9,27,26.1,35.4	1
Test problem 10	Path10_299_300	97,37.6,13.7,47.1,19.2,35.4,33.3	2
Test problem 10	Path10_301_301	97,37.6,16,45.5,20.5,34.7,34	1
Test problem 10	Path10_302_303	97,37.7,13.7,47.3,19.2,35.1,33.6	2
Test problem 10	Path10_304_304	97,37.7,16,45.7,20.5,34.4,34.3	1
Test problem 10	Path10_305_305	97,37.7,16.1,45.8,21.3,33.9,34	1
Test problem 10	Path10_306_306	97,37.7,18.3,31.1,31.5,21.6,46.1	1
Test problem 10	Path10_307_307	97,37.7,18.3,31.5,31.2,21.6,46.3	1
Test problem 10	Path10_308_308	97,37.8,13.8,45.7,15.7,38.4,32.3	1
Test problem 10	Path10_309_309	97,37.8,16.1,46,21.3,33.6,34.3	1
Test problem 10	Path10_310_310	97,37.9,13.8,45.9,15.7,38.1,32.6	1
Test problem 10	Path10_311_311	97,37.9,13.9,46,16.5,37.6,32.3	1
Test problem 10	Path10_312_312	97,37.9,14.2,47.4,18.7,34.8,33.2	1
Test problem 10	Path10_313_313	97,37.9,15.5,45,20.3,35.2,33.6	1
Test problem 10	Path10_314_314	97,38,13.3,46.8,19.3,35.5,34.2	1
Test problem 10	Path10_315_315	97,38,13.9,46.2,16.5,37.3,32.6	1
Test problem 10	Path10_316_316	97,38,14.2,47.6,18.7,34.5,33.5	1
Test problem 10	Path10_317_317	97,38,14.3,47.7,19.5,34,33.2	1
Test problem 10	Path10_318_318	97,38,15.5,45.2,20.3,34.9,33.9	1
Test problem 10	Path10_319_319	97,38.1,13.3,47,19.3,35.2,34.5	1
Test problem 10	Path10_320_321	97,38.1,14.2,47.4,18.6,34.7,33.3	2
Test problem 10	Path10_322_322	97,38.1,14.3,47.9,19.5,33.7,33.5	1
Test problem 10	Path10_323_324	97,38.1,15.5,45,20.2,35.1,33.7	2
Test problem 10	Path10_325_325	97,38.1,17.8,33.7,25.2,27.3,43.2	1
Test problem 10	Path10_326_326	97,38.1,18.3,30.2,31.4,22,46.5	1
Test problem 10	Path10_327_327	97,38.1,18.3,30.6,31.1,22,46.7	1
Test problem 10	Path10_328_329	97,38.2,13.3,46.8,19.2,35.4,34.3	2
Test problem 10	Path10_330_330	97,38.2,13.7,35.1,25.6,31.4,42.3	1
Test problem 10	Path10_331_331	97,38.2,13.7,35.5,25.3,31.4,42.5	1
Test problem 10	Path10_332_333	97,38.2,14.2,47.6,18.6,34.4,33.6	2
Test problem 10	Path10_334_335	97,38.2,14.3,47.7,19.4,33.9,33.3	2
Test problem 10	Path10_336_337	97,38.2,15.5,45.2,20.2,34.8,34	2
Test problem 10	Path10_338_338	97,38.2,16.6,34.2,26,20.4,48.1	1
Test problem 10	Path10_339_339	97,38.2,16.6,34.4,25.3,20.7,48.4	1
Test problem 10	Path10_340_340	97,38.2,17.9,34,26,26.5,43.2	1
Test problem 10	Path10_341_342	97,38.3,13.3,47,19.2,35.1,34.6	2
Test problem 10	Path10_343_344	97,38.3,14.3,47.9,19.4,33.6,33.6	2
Test problem 10	Path10_345_345	97,38.3,18.3,30.6,31,22.1,46.4	1
Test problem 10	Path10_346_346	97,38.3,18.3,31,30.7,22.1,46.6	1
Test problem 10	Path10_347_348	97,38.4,15.7,34.3,16.3,37.1,35.4	2
Test problem 10	Path10_349_349	97,38.4,16,45.3,19.7,34.5,33.6	1
Test problem 10	Path10_350_350	97,38.4,16.6,34.6,25.6,20.5,48	1
Test problem 10	Path10_351_351	97,38.5,13.8,47.1,18.7,34.8,34.2	1
Test problem 10	Path10_352_352	97,38.5,15.1,34,25.1,20.6,49.1	1
Test problem 10	Path10_353_353	97,38.5,15.1,34.4,24.8,20.6,49.3	1
Test problem 10	Path10_354_354	97,38.5,16,45.5,19.7,34.2,33.9	1
Test problem 10	Path10_355_355	97,38.5,16.1,45.6,20.5,33.7,33.6	1
Test problem 10	Path10_356_356	97,38.6,13.8,47.3,18.7,34.5,34.5	1
Test problem 10	Path10_357_357	97,38.6,13.9,47.4,19.5,34,34.2	1
Test problem 10	Path10_358_359	97,38.6,16,45.3,19.6,34.4,33.7	2
Test problem 10	Path10_360_360	97,38.6,16.1,45.8,20.5,33.4,33.9	1
Test problem 10	Path10_361_361	97,38.6,16.6,34.2,24.9,21.1,49	1
Test problem 10	Path10_362_362	97,38.6,18.3,30.6,31.5,21.9,46.2	1
Test problem 10	Path10_363_363	97,38.6,18.3,31,31.2,21.9,46.4	1
Test problem 10	Path10_364_365	97,38.7,13.8,47.1,18.6,34.7,34.3	2
Test problem 10	Path10_366_366	97,38.7,13.9,47.6,19.5,33.7,34.5	1
Test problem 10	Path10_367_367	97,38.7,14.2,35.4,25,30.7,42.3	1
Test problem 10	Path10_368_368	97,38.7,14.2,35.8,24.7,30.7,42.5	1
Test problem 10	Path10_369_369	97,38.7,15.1,34,25.8,20.7,48.8	1
Test problem 10	Path10_370_370	97,38.7,15.1,34.4,25.5,20.7,49	1
Test problem 10	Path10_371_372	97,38.7,16,45.5,19.6,34.1,34	2
Test problem 10	Path10_373_374	97,38.7,16.1,45.6,20.4,33.6,33.7	2
Test problem 10	Path10_375_375	97,38.8,13.3,34.8,25.6,31.4,43.3	1
Test problem 10	Path10_376_376	97,38.8,13.3,35.2,25.3,31.4,43.5	1
Test problem 10	Path10_377_378	97,38.8,13.8,47.3,18.6,34.4,34.6	2
Test problem 10	Path10_379_380	97,38.8,13.9,47.4,19.4,33.9,34.3	2
Test problem 10	Path10_381_381	97,38.8,14.3,35.7,25.8,29.9,42.3	1
Test problem 10	Path10_382_382	97,38.8,14.3,36.1,25.5,29.9,42.5	1
Test problem 10	Path10_383_384	97,38.8,16.1,45.8,20.4,33.3,34	2
Test problem 10	Path10_385_385	97,38.8,16.6,34.4,25.2,20.9,48.6	1
Test problem 10	Path10_386_386	97,38.8,19,45.2,20.3,31.5,33.1	1
Test problem 10	Path10_387_388	97,38.9,13.9,47.6,19.4,33.6,34.6	2
Test problem 10	Path10_389_389	97,38.9,15.1,33.8,24.7,21,49.7	1
Test problem 10	Path10_390_390	97,38.9,15.1,34.2,24.4,21,49.9	1
Test problem 10	Path10_391_391	97,38.9,15.1,34.4,25.4,20.8,48.7	1
Test problem 10	Path10_392_392	97,38.9,15.1,34.8,25.1,20.8,48.9	1
Test problem 10	Path10_393_393	97,38.9,16.2,34.6,15.7,36.4,35.4	1
Test problem 10	Path10_394_394	97,38.9,19.1,45.5,21.1,30.7,33.1	1
Test problem 10	Path10_395_395	97,39,15.5,45,19.3,35.5,33.9	1
Test problem 10	Path10_396_396	97,39,16.3,34.9,16.5,35.6,35.4	1
Test problem 10	Path10_397_397	97,39.1,15.1,33.8,25.4,21.1,49.4	1
Test problem 10	Path10_398_398	97,39.1,15.5,45.2,19.3,35.2,34.2	1
Test problem 10	Path10_399_399	97,39.2,13.7,46,21.1,35.4,33.5	1
Test problem 10	Path10_400_401	97,39.2,15.5,45,19.2,35.4,34	2
Test problem 10	Path10_402_402	97,39.2,16.9,34.6,26.1,19.3,51.9	1
Test problem 10	Path10_403_403	97,39.2,16.9,35,25.8,19.3,52.1	1
Test problem 10	Path10_404_404	97,39.3,13.7,46.2,21.1,35.1,33.8	1
Test problem 10	Path10_405_405	97,39.3,13.8,35.1,25,30.7,43.3	1
Test problem 10	Path10_406_406	97,39.3,13.8,35.5,24.7,30.7,43.5	1
Test problem 10	Path10_407_407	97,39.3,14.9,35.6,25.6,19.4,51.2	1
Test problem 10	Path10_408_408	97,39.3,14.9,36,25.3,19.4,51.4	1
Test problem 10	Path10_409_409	97,39.3,15.1,34.2,25,21.2,49.3	1
Test problem 10	Path10_410_410	97,39.3,15.1,34.6,24.7,21.2,49.5	1
Test problem 10	Path10_411_412	97,39.3,15.5,45.2,19.2,35.1,34.3	2
Test problem 10	Path10_413_413	97,39.3,16.5,33.5,26.1,19.3,50.1	1
Test problem 10	Path10_414_414	97,39.3,16.5,33.9,25.8,19.3,51.3	1
Test problem 10	Path10_415_415	97,39.3,17.8,45.5,19.3,25.7,35	1
Test problem 10	Path10_416_416	97,39.4,13.9,35.4,25.8,29.9,43.3	1
Test problem 10	Path10_417_417	97,39.4,13.9,35.8,25.5,29.9,43.5	1
Test problem 10	Path10_418_418	97,39.4,14.5,34.5,25.6,19.4,49.4	1
Test problem 10	Path10_419_419	97,39.4,14.5,34.9,25.3,19.4,50.6	1
Test problem 10	Path10_420_420	97,39.5,16,45.3,18.7,34.8,33.9	1
Test problem 10	Path10_421_422	97,39.5,17.8,45.5,19.2,25.6,35.1	2
Test problem 10	Path10_423_423	97,39.6,16,45.5,18.7,34.5,34.2	1
Test problem 10	Path10_424_424	97,39.6,16.1,45.6,19.5,34,33.9	1
Test problem 10	Path10_425_425	97,39.6,19,45,19.5,31.3,32.7	1
Test problem 10	Path10_426_426	97,39.7,14.2,46.3,20.5,34.7,33.5	1
Test problem 10	Path10_427_427	97,39.7,14.9,35.4,25.2,19.8,51.8	1
Test problem 10	Path10_428_428	97,39.7,14.9,35.8,24.9,19.8,52	1
Test problem 10	Path10_429_430	97,39.7,16,45.3,18.6,34.7,34	2
Test problem 10	Path10_431_431	97,39.7,16.1,45.8,19.5,33.7,34.2	1
Test problem 10	Path10_432_432	97,39.7,16.1,46.5,18.5,31.4,34.9	1
Test problem 10	Path10_433_433	97,39.7,19.1,45.3,20.3,30.5,32.7	1
Test problem 10	Path10_434_434	97,39.8,13.3,45.7,21.1,35.4,34.5	1
Test problem 10	Path10_435_435	97,39.8,14.2,46.5,20.5,34.4,33.8	1
Test problem 10	Path10_436_436	97,39.8,14.3,46.6,21.3,33.9,33.5	1
Test problem 10	Path10_437_437	97,39.8,14.5,34.3,25.2,19.8,50	1
Test problem 10	Path10_438_438	97,39.8,14.5,34.7,24.9,19.8,51.2	1
Test problem 10	Path10_439_440	97,39.8,16,45.5,18.6,34.4,34.3	2
Test problem 10	Path10_441_442	97,39.8,16.1,45.6,19.4,33.9,34	2
Test problem 10	Path10_443_443	97,39.8,16.1,46.7,18.5,31.1,35.2	1
Test problem 10	Path10_444_444	97,39.8,16.2,46.8,19.3,30.6,34.9	1
Test problem 10	Path10_445_445	97,39.8,16.3,32.1,31,21.9,46.1	1
Test problem 10	Path10_446_446	97,39.8,16.3,32.5,30.7,21.9,46.3	1
Test problem 10	Path10_447_448	97,39.8,19,45,19.4,31.2,32.8	2
Test problem 10	Path10_449_449	97,39.9,13.3,45.9,21.1,35.1,34.8	1
Test problem 10	Path10_450_450	97,39.9,14.3,46.8,21.3,33.6,33.8	1
Test problem 10	Path10_451_452	97,39.9,16.1,45.8,19.4,33.6,34.3	2
Test problem 10	Path10_453_454	97,39.9,16.1,46.5,18.4,31.3,35	2
Test problem 10	Path10_455_455	97,39.9,16.2,47,19.3,30.3,35.2	1
Test problem 10	Path10_456_456	97,39.9,16.3,33.9,24.8,27.3,43.9	1
Test problem 10	Path10_457_457	97,39.9,16.3,34.3,24.5,27.3,44.1	1
Test problem 10	Path10_458_458	97,39.9,17.8,45.8,18.9,26.5,36.3	1
Test problem 10	Path10_459_460	97,39.9,19.1,45.3,20.2,30.4,32.8	2
Test problem 10	Path10_461_461	97,40,13.7,45.8,20.3,35.2,33.1	1
Test problem 10	Path10_462_462	97,40,14.1,34.2,25.6,19.4,50.4	1
Test problem 10	Path10_463_463	97,40,14.1,34.6,25.3,19.4,51.6	1
Test problem 10	Path10_464_464	97,40,15.1,34.4,25.6,20.4,48.8	1
Test problem 10	Path10_465_465	97,40,15.1,34.6,24.9,20.7,49.1	1
Test problem 10	Path10_466_466	97,40,15.1,34.8,25.3,20.4,49	1
Test problem 10	Path10_467_467	97,40,15.1,35,24.6,20.7,49.3	1
Test problem 10	Path10_468_469	97,40,16.1,46.7,18.4,31,35.3	2
Test problem 10	Path10_470_471	97,40,16.2,46.8,19.2,30.5,35	2
Test problem 10	Path10_472_472	97,40,16.3,32.1,31.7,22,45.8	1
Test problem 10	Path10_473_473	97,40,16.3,32.5,31.4,22,46	1
Test problem 10	Path10_474_474	97,40,16.4,34.2,25.6,26.5,43.9	1
Test problem 10	Path10_475_475	97,40,16.4,34.6,25.3,26.5,44.1	1
Test problem 10	Path10_476_476	97,40.1,13.7,46,20.3,34.9,33.4	1
Test problem 10	Path10_477_478	97,40.1,16.2,47,19.2,30.2,35.3	2
Test problem 10	Path10_479_480	97,40.2,13.7,45.8,20.2,35.1,33.2	2
Test problem 10	Path10_481_481	97,40.2,15.1,34.8,25.2,20.5,48.7	1
Test problem 10	Path10_482_482	97,40.2,15.1,35.2,24.9,20.5,48.9	1
Test problem 10	Path10_483_483	97,40.2,16.3,32.5,31.3,22.1,45.7	1
Test problem 10	Path10_484_484	97,40.2,16.3,32.9,31,22.1,45.9	1
Test problem 10	Path10_485_485	97,40.2,16.6,33.6,25.8,22,45.3	1
Test problem 10	Path10_486_486	97,40.2,18.1,42.1,27,25.9,37.5	1
Test problem 10	Path10_487_488	97,40.3,13.7,46,20.2,34.8,33.5	2
Test problem 10	Path10_489_489	97,40.3,13.8,46,20.5,34.7,34.5	1
Test problem 10	Path10_490_490	97,40.3,18.1,42.3,27,25.6,37.8	1
Test problem 10	Path10_491_491	97,40.4,13.8,46.2,20.5,34.4,34.8	1
Test problem 10	Path10_492_492	97,40.4,13.9,46.3,21.3,33.9,34.5	1
Test problem 10	Path10_493_493	97,40.4,14.1,34,25.2,19.8,51	1
Test problem 10	Path10_494_494	97,40.4,14.1,34.4,24.9,19.8,52.2	1
Test problem 10	Path10_495_495	97,40.4,15.1,34.4,24.5,21.1,49.7	1
Test problem 10	Path10_496_496	97,40.4,15.1,34.8,24.2,21.1,49.9	1
Test problem 10	Path10_497_497	97,40.4,15.9,31.8,31,21.9,47.1	1
Test problem 10	Path10_498_498	97,40.4,15.9,32.2,30.7,21.9,47.3	1
Test problem 10	Path10_499_499	97,40.4,16.3,32.5,31.5,21.6,45.7	1
Test problem 10	Path10_500_500	97,40.4,16.3,32.9,31.2,21.6,45.9	1
Test problem 10	Path10_501_501	97,40.4,16.6,32.9,26,21.4,45.4	1
Test problem 10	Path10_502_502	97,40.4,16.6,33.6,26.5,22.1,45	1
Test problem 10	Path10_503_503	97,40.5,13.9,46.5,21.3,33.6,34.8	1
Test problem 10	Path10_504_504	97,40.5,14.2,46.1,19.7,34.5,33.1	1
Test problem 10	Path10_505_505	97,40.6,13.3,45.5,20.3,35.2,34.1	1
Test problem 10	Path10_506_506	97,40.6,14.2,46.3,19.7,34.2,33.4	1
Test problem 10	Path10_507_507	97,40.6,14.3,46.4,20.5,33.7,33.1	1
Test problem 10	Path10_508_508	97,40.6,15.1,35,24.5,20.9,49.5	1
Test problem 10	Path10_509_509	97,40.6,15.9,31.8,31.7,22,46.8	1
Test problem 10	Path10_510_510	97,40.6,15.9,32.2,31.4,22,47	1
Test problem 10	Path10_511_511	97,40.6,16.6,33.4,25.4,22.4,45.9	1
Test problem 10	Path10_512_512	97,40.6,16.6,34,26.1,22.2,44.9	1
Test problem 10	Path10_513_513	97,40.7,13.3,45.7,20.3,34.9,34.4	1
Test problem 10	Path10_514_515	97,40.7,14.2,46.1,19.6,34.4,33.2	2
Test problem 10	Path10_516_516	97,40.7,14.3,46.6,20.5,33.4,33.4	1
Test problem 10	Path10_517_517	97,40.7,19,45,18.5,31.6,33	1
Test problem 10	Path10_518_519	97,40.8,13.3,45.5,20.2,35.1,34.2	2
Test problem 10	Path10_520_521	97,40.8,14.2,46.3,19.6,34.1,33.5	2
Test problem 10	Path10_522_523	97,40.8,14.3,46.4,20.4,33.6,33.2	2
Test problem 10	Path10_524_524	97,40.8,15.9,32.2,31.3,22.1,46.7	1
Test problem 10	Path10_525_525	97,40.8,15.9,32.6,31,22.1,46.9	1
Test problem 10	Path10_526_526	97,40.8,16.3,31.6,31.4,22,46.1	1
Test problem 10	Path10_527_527	97,40.8,16.3,32,31.1,22,46.3	1
Test problem 10	Path10_528_528	97,40.8,19.1,45.3,19.3,30.8,33	1
Test problem 10	Path10_529_530	97,40.9,13.3,45.7,20.2,34.8,34.5	2
Test problem 10	Path10_531_532	97,40.9,14.3,46.6,20.4,33.3,33.5	2
Test problem 10	Path10_533_533	97,40.9,15.7,34.6,21.1,33.4,37.6	1
Test problem 10	Path10_534_535	97,40.9,19,45,18.4,31.5,33.1	2
Test problem 10	Path10_536_536	97,41,15.9,32.2,31.5,21.6,46.7	1
Test problem 10	Path10_537_537	97,41,15.9,32.6,31.2,21.6,46.9	1
Test problem 10	Path10_538_538	97,41,16.3,32,31,22.1,46	1
Test problem 10	Path10_539_539	97,41,16.3,32.4,30.7,22.1,46.2	1
Test problem 10	Path10_540_540	97,41,16.6,33.2,25.6,22.2,46.7	1
Test problem 10	Path10_541_541	97,41,16.6,33.8,25.7,22.6,45.5	1
Test problem 10	Path10_542_543	97,41,19.1,45.3,19.2,30.7,33.1	2
Test problem 10	Path10_544_545	97,41.1,13.7,35.7,16.3,37.1,35	2
Test problem 10	Path10_546_546	97,41.1,13.7,45.8,19.3,35.5,33.4	1
Test problem 10	Path10_547_547	97,41.1,13.8,45.8,19.7,34.5,34.1	1
Test problem 10	Path10_548_548	97,41.1,17.8,44.4,21.1,25.6,35.3	1
Test problem 10	Path10_549_549	97,41.2,13.1,35.4,25.1,20.6,48.7	1
Test problem 10	Path10_550_550	97,41.2,13.1,35.8,24.8,20.6,48.9	1
Test problem 10	Path10_551_551	97,41.2,13.7,46,19.3,35.2,33.7	1
Test problem 10	Path10_552_552	97,41.2,13.8,46,19.7,34.2,34.4	1
Test problem 10	Path10_553_553	97,41.2,13.9,46.1,20.5,33.7,34.1	1
Test problem 10	Path10_554_554	97,41.2,16.6,33.1,26.2,22.1,45.3	1
Test problem 10	Path10_555_556	97,41.3,13.7,45.8,19.2,35.4,33.5	2
Test problem 10	Path10_557_558	97,41.3,13.8,45.8,19.6,34.4,34.2	2
Test problem 10	Path10_559_559	97,41.3,13.9,46.3,20.5,33.4,34.4	1
Test problem 10	Path10_560_560	97,41.3,16.3,32,31.5,21.9,45.8	1
Test problem 10	Path10_561_561	97,41.3,16.3,32.4,31.2,21.9,46	1
Test problem 10	Path10_562_562	97,41.4,13.1,35.4,25.8,20.7,48.4	1
Test problem 10	Path10_563_563	97,41.4,13.1,35.8,25.5,20.7,48.6	1
Test problem 10	Path10_564_565	97,41.4,13.7,46,19.2,35.1,33.8	2
Test problem 10	Path10_566_567	97,41.4,13.8,46,19.6,34.1,34.5	2
Test problem 10	Path10_568_569	97,41.4,13.9,46.1,20.4,33.6,34.2	2
Test problem 10	Path10_570_570	97,41.4,15.9,31.3,31.4,22,47.1	1
Test problem 10	Path10_571_571	97,41.4,15.9,31.7,31.1,22,47.3	1
Test problem 10	Path10_572_572	97,41.4,16.2,34.9,20.5,32.7,37.6	1
Test problem 10	Path10_573_573	97,41.4,16.6,33.5,25.8,22.2,45.2	1
Test problem 10	Path10_574_575	97,41.5,13.9,46.3,20.4,33.3,34.5	2
Test problem 10	Path10_576_576	97,41.5,16.1,45.4,20.3,31.3,35.2	1
Test problem 10	Path10_577_577	97,41.5,16.3,35.2,21.3,31.9,37.6	1
Test problem 10	Path10_578_578	97,41.6,13.1,35.2,24.7,21,49.3	1
Test problem 10	Path10_579_579	97,41.6,13.1,35.6,24.4,21,49.5	1
Test problem 10	Path10_580_580	97,41.6,13.1,35.8,25.4,20.8,48.3	1
Test problem 10	Path10_581_581	97,41.6,13.1,36.2,25.1,20.8,48.5	1
Test problem 10	Path10_582_582	97,41.6,14.2,36,15.7,36.4,35	1
Test problem 10	Path10_583_583	97,41.6,14.2,46.1,18.7,34.8,33.4	1
Test problem 10	Path10_584_584	97,41.6,15.9,31.7,31,22.1,47	1
Test problem 10	Path10_585_585	97,41.6,15.9,32.1,30.7,22.1,47.2	1
Test problem 10	Path10_586_586	97,41.6,16.1,45.6,20.3,31,35.5	1
Test problem 10	Path10_587_587	97,41.6,16.2,45.7,21.1,30.5,35.2	1
Test problem 10	Path10_588_588	97,41.6,16.6,32.9,25.8,22.5,45.9	1
Test problem 10	Path10_589_590	97,41.7,13.3,35.4,16.3,37.1,36	2
Test problem 10	Path10_591_591	97,41.7,13.3,45.5,19.3,35.5,34.4	1
Test problem 10	Path10_592_592	97,41.7,14.2,46.3,18.7,34.5,33.7	1
Test problem 10	Path10_593_593	97,41.7,14.3,36.3,16.5,35.6,35	1
Test problem 10	Path10_594_594	97,41.7,14.3,46.4,19.5,34,33.4	1
Test problem 10	Path10_595_595	97,41.7,15.7,34.4,20.3,33.2,37.2	1
Test problem 10	Path10_596_596	97,41.7,16.2,45.9,21.1,30.2,35.5	1
Test problem 10	Path10_597_597	97,41.7,16.6,33.5,26.3,22,45	1
Test problem 10	Path10_598_598	97,41.7,16.6,34,26.3,21.8,45	1
Test problem 10	Path10_599_599	97,41.7,16.6,34.2,25.6,22.1,45.3	1
Test problem 10	Path10_600_600	97,41.7,17.8,44.7,20.7,26.4,36.6	1
Test problem 10	Path10_601_601	97,41.8,12.7,35.1,25.1,20.6,49.7	1
Test problem 10	Path10_602_602	97,41.8,12.7,35.5,24.8,20.6,49.9	1
Test problem 10	Path10_603_603	97,41.8,13.1,35.2,25.4,21.1,49	1
Test problem 10	Path10_604_604	97,41.8,13.3,45.7,19.3,35.2,34.7	1
Test problem 10	Path10_605_606	97,41.8,14.2,46.1,18.6,34.7,33.5	2
Test problem 10	Path10_607_607	97,41.8,14.3,46.6,19.5,33.7,33.7	1
Test problem 10	Path10_608_608	97,41.8,14.3,47.3,18.5,31.4,34.4	1
Test problem 10	Path10_609_609	97,41.8,16.6,33.3,25.4,22.6,45.8	1
Test problem 10	Path10_610_611	97,41.9,13.3,45.5,19.2,35.4,34.5	2
Test problem 10	Path10_612_613	97,41.9,14.2,46.3,18.6,34.4,33.8	2
Test problem 10	Path10_614_615	97,41.9,14.3,46.4,19.4,33.9,33.5	2
Test problem 10	Path10_616_616	97,41.9,14.3,47.5,18.5,31.1,34.7	1
Test problem 10	Path10_617_617	97,41.9,14.4,47.6,19.3,30.6,34.4	1
Test problem 10	Path10_618_618	97,41.9,14.9,36,26.1,19.3,51.5	1
Test problem 10	Path10_619_619	97,41.9,14.9,36.4,25.8,19.3,51.7	1
Test problem 10	Path10_620_621	97,41.9,15.7,34.4,20.2,33.1,37.3	2
Test problem 10	Path10_622_622	97,41.9,15.9,31.7,31.5,21.9,46.8	1
Test problem 10	Path10_623_623	97,41.9,15.9,32.1,31.2,21.9,47	1
Test problem 10	Path10_624_624	97,41.9,16.6,34.4,25.9,21.9,44.9	1
Test problem 10	Path10_625_625	97,41.9,17.8,44.2,20.3,25.4,34.9	1
Test problem 10	Path10_626_626	97,42,12.7,35.1,25.8,20.7,49.4	1
Test problem 10	Path10_627_627	97,42,12.7,35.5,25.5,20.7,49.6	1
Test problem 10	Path10_628_628	97,42,13.1,35.6,25,21.2,48.9	1
Test problem 10	Path10_629_629	97,42,13.1,36,24.7,21.2,49.1	1
Test problem 10	Path10_630_631	97,42,13.3,45.7,19.2,35.1,34.8	2
Test problem 10	Path10_632_633	97,42,14.3,46.6,19.4,33.6,33.8	2
Test problem 10	Path10_634_635	97,42,14.3,47.3,18.4,31.3,34.5	2
Test problem 10	Path10_636_636	97,42,14.4,47.8,19.3,30.3,34.7	1
Test problem 10	Path10_637_637	97,42,14.5,34.9,26.1,19.3,49.7	1
Test problem 10	Path10_638_638	97,42,14.5,35.3,25.8,19.3,50.9	1
Test problem 10	Path10_639_639	97,42,14.9,45.7,19.3,25.5,37.1	1
Test problem 10	Path10_640_640	97,42,15.1,33.8,25.4,22,46	1
Test problem 10	Path10_641_641	97,42,15.1,34.2,25.1,22,46.2	1
Test problem 10	Path10_642_643	97,42.1,14.3,47.5,18.4,31,34.8	2
Test problem 10	Path10_644_645	97,42.1,14.4,47.6,19.2,30.5,34.5	2
Test problem 10	Path10_646_646	97,42.1,14.9,45.9,19.3,25.2,37.4	1
Test problem 10	Path10_647_647	97,42.1,16.6,33.3,25.9,22.4,45.6	1
Test problem 10	Path10_648_648	97,42.1,16.6,34,25.2,22.5,45.9	1
Test problem 10	Path10_649_650	97,42.1,17.8,44.2,20.2,25.3,35	2
Test problem 10	Path10_651_651	97,42.2,12.7,34.9,24.7,21,50.3	1
Test problem 10	Path10_652_652	97,42.2,12.7,35.3,24.4,21,50.5	1
Test problem 10	Path10_653_653	97,42.2,12.7,35.5,25.4,20.8,49.3	1
Test problem 10	Path10_654_654	97,42.2,12.7,35.9,25.1,20.8,49.5	1
Test problem 10	Path10_655_655	97,42.2,13.8,35.7,15.7,36.4,36	1
Test problem 10	Path10_656_656	97,42.2,13.8,45.8,18.7,34.8,34.4	1
Test problem 10	Path10_657_658	97,42.2,14.4,47.8,19.2,30.2,34.8	2
